authors,title,source,DNA_RNA,DNA,RNA,year,volume_l,filter_size_µm,filter_type,DNA_extr,loci,16S,18S,23S,28S,ITS2,ITS1,cytb,CO1,NADH4,D-loop,12S,rbcL,rrnA,arrA,cbbL,nifH,aprA,rpoC1,pufM,luxA,amoA,mutS,phnD,LSU rDNA,tufA,genome,transcriptome,water,fresh,marine,system,type_organism,id_type,ASV,OTU,Species,max_OTUs,max_ASV,max_spp,max_spp_other,phylum,continent,region,country
"Sigsgaard, EE; Nielsen, IB; Carl, H; Krag, MA; Knudsen, SW; Xing, YC; Holm-Hansen, TH; Moller, PR; Thomsen, PF",Seawater environmental DNA reflects seasonality of a coastal fish community,MARINE BIOLOGY,DNA,1,0,2017,0.5,<0.22,Polyethersulfone,QBT_Kit_alt,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Fish,Species,0,0,1,NA,NA,29,NA,Chordata,Europe,Northeast Atlantic,Denmark
"Sato, H; Sogo, Y; Doi, H; Yamanaka, H",Usefulness and limitations of sample pooling for environmental DNA metabarcoding of freshwater fish communities,SCIENTIFIC REPORTS,DNA,1,0,2017,0.375,0.4_1,Glass_Fiber,QBT_Kit_alt,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Fish,Species,0,0,1,NA,NA,43,NA,Chordata,Asia,NA,Japan
"Stat, M; Huggett, MJ; Bernasconi, R; DiBattista, JD; Berry, TE; Newman, SJ; Harvey, ES; Bunce, M",Ecosystem biomonitoring with eDNA: metabarcoding across the tree of life in a tropical marine environment,SCIENTIFIC REPORTS,DNA,1,0,2017,1,<0.22,Nylon,QBT_Kit,"12S, 16S, 18S, 28S, COI, cytb",1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coral reef,Non target,OTU,0,1,0,879,NA,NA,NA,>10,Oceania,Indian Ocean,Australia
"Tessler, M; Brugler, MR; DeSalle, R; Hersch, R; Velho, LFM; Segovia, BT; Lansac-Toha, FA; Lemke, MJ",A Global eDNA Comparison of Freshwater Bacterioplankton Assemblages Focusing on Large-River Floodplain Lakes of Brazil,MICROBIAL ECOLOGY,DNA,1,0,2017,NA,<0.22,Polycarbonate,MPFD_kit,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Bacteria,NA,0,0,0,NA,NA,NA,NA,"Verrucomicrobia, Proteobacteria, Cyanophyta, Bacteriodetes, Actinobacteria",SOTUh America,NA,Brazil
"Hirai, M; Nishi, S; Tsuda, M; Sunamura, M; Takaki, Y; Nunoura, T",Library Construction from Subnanogram DNA for Pelagic Sea Water and Deep-Sea Sediments,MICROBES AND ENVIRONMENTS,DNA,1,0,2017,3.5,<0.22,Cellulose,QPS_Kit,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Open Ocean,Bacteria,NA,0,0,0,NA,NA,NA,NA,>10,Asia,Northwest Pacific,Japan
"Manrique, JM; Jones, LR","Are ocean currents to slow to counteract SAR11 evolution? A next-generation sequencing, phylogeographic analysis",MOLECULAR PHYLOGENETICS AND EVOLUTION,DNA,1,0,2017,3,<0.22,Polycarbonate,CTAB,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Open Ocean,Bacteria,OTU,0,1,0,276,NA,NA,NA,Bacterial,SOTUh America,SOTUhwest Atlantic,Argentina
"Klymus, KE; Marshall, NT; Stepien, CA",Environmental DNA (eDNA) metabarcoding assays to detect invasive invertebrate species in the Great Lakes,PLOS ONE,DNA,1,0,2017,0.4,<0.22,Polyethersulfone,CTAB,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Non target,OTU,0,1,0,24,NA,NA,NA,Mollusca,North America,NA,USA
"O'Donnell, JL; Kelly, RP; Shelton, AO; Samhouri, JF; Lowell, NC; Williams, GD",Spatial distribution of environmental DNA in a nearshore marine habitat,PEERJ,DNA,1,0,2017,1,0.4_1,Cellulose,PCI,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Bay,Non target,OTU,0,1,0,136,NA,NA ,NA,NA,North America,Northeast Pacific,USA
"Canelhas, MR; Andersson, M; Eiler, A; Lindstrom, ES; Bertilsson, S",Influence of pulsed and continuous substrate inputs on freshwater bacterial community composition and functioning in bioreactors,ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,2017,0.01,<0.22,Polyethersulfone,QPS_Kit,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Bacteria,OTU,0,1,0,112,NA,NA,NA,NA,Europe,NA,Sweden
"Won, NI; Kim, KH; Kang, JH; Park, SR; Lee, HJ",Exploring the Impacts of Anthropogenic Disturbance on Seawater and Sediment Microbial Communities in Korean Coastal Waters Using Metagenomics Analysis,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,DNA,1,0,2017,20,<0.22,Cellulose_Nitrate,"QPW_Kit, MPFD_kit",16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Open Ocean,Bacteria,OTU,0,1,0,"6,828",NA,NA,NA,"Proteobacteria, Bacteriodetes, Actinobacteria, Cyanophyta, Euryarchaeota, Verrucomicrobia",Asia,Northwest Pacific,SOTUh Korea
"DiBattista, JD; Coker, DJ; Sinclair-Taylor, TH; Stat, M; Berumen, ML; Bunce, M",Assessing the utility of eDNA as a tool to survey reef-fish communities in the Red Sea,CORAL REEFS,DNA,1,0,2017,0.5,0.4_1,Micronylon,QBT_Kit_alt,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coral reef,Fish,Species,0,0,1,NA,NA,46,NA,Chordata,Asia,Indian Ocean,Saudi Arabia
"Flaviani, F; Schroeder, DC; Balestreri, C; Schroeder, JL; Moore, K; Paszkiewicz, K; Pfaff, MC; Rybicki, EP",A Pelagic Microbiome (Viruses to Protists) from a Small Cup of Seawater,VIRUSES-BASEL,DNA,1,0,2017,0.25,0.4_1,Polycarbonate,QBT_Kit,"16S, 18S",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Open Ocean,Bacteria,OTU,0,1,0,"1,886",NA,NA,NA,>10,Africa,Indian Ocean,SOTUh Africa
"Pochon, X; Zaiko, A; Fletcher, LM; Laroche, O; Wood, SA",Wanted dead or alive? Using metabarcoding of environmental DNA and RNA to distinguish living assemblages for biosecurity applications,PLOS ONE,DNA,1,0,2017,0.03,>1,Glass_Fiber,ZRMP_Kit,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Bilge water,Non target,OTU,0,1,0,"1,180",NA,NA,NA,NA,Oceania,SOTUhwest Pacific,New Zeland
"Stoeckle, BC; Beggel, S; Cerwenka, AF; Motivans, E; Kuehn, R; Geist, J",A systematic approach to evaluate the influence of environmental conditions on eDNA detection success in aquatic ecosystems,PLOS ONE,DNA,1,0,2017,0.5,0.4_1,Glass_Fiber,QBT_Kit_alt,COI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Aquarium,Fish,NA,0,0,0,NA,NA,NA,NA,Chordata,Europe,NA,Germany
"Bista, I; Carvalho, GR; Walsh, K; Seymour, M; Hajibabaei, M; Lallias, D; Christmas, M; Creer, S",Annual time-series analysis of aqueous eDNA reveals ecologically relevant dynamics of lake ecosystem biodiversity,NATURE COMMUNICATIONS,DNA,1,0,2017,1,0.4_1,Cellulose_Nitrate,PCI_alt,COI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Non target,OTU,0,1,0,103,NA,NA,NA,Arthropoda,Europe,NA,UK
"Bakker, J; Wangensteen, OS; Chapman, DD; Boussarie, G; Buddo, D; Guttridge, TL; Hertler, H; Mouillot, D; Vigliola, L; Mariani, S",Environmental DNA reveals tropical shark diversity in contrasting levels of anthropogenic impact,SCIENTIFIC REPORTS,DNA,1,0,2017,4,0.4_1,Cellulose,QPS_Kit,COI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,"Coastal Ocean, Open Ocean",Fish,OTU,0,1,0,22,NA,NA,NA,Chordata,North America,Caribbean,"Belize, Jamaica, Bahamas, New Caledonia, Turks, Caicos Islands"
"Evans, NT; Li, YY; Renshaw, MA; Olds, BP; Deiner, K; Turner, CR; Jerde, CL; Lodge, DM; Lamberti, GA; Pfrender, ME",Fish community assessment with eDNA metabarcoding: effects of sampling design and bioinformatic filtering,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,DNA,1,0,2017,0.25,>1,Polycarbonate,PCI_alt,"cytb, 12S, 16S",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Pond,Fish,Species,0,0,1,NA,NA,65,NA,Chordata,North America,NA,USA
"Bylemans, J; Gleeson, DM; Hardy, CM; Furlan, E",Toward an ecoregion scale evaluation of eDNA metabarcoding primers: A case study for the freshwater fish biodiversity of the Murray-Darling Basin (Australia),ECOLOGY AND EVOLUTION,DNA,1,0,2018,2,>1,Glass_Fiber,QPW_Kit,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Fish,OTU,0,1,0,NA,NA,NA,NA,Chordata,Oceania,NA,Australia
"Pont, D., Rocle, M., Valentini, A., Civade, R., Jean, P., Maire, A., Roset, N., Schabuss, M., Zornig, H. and Dejean, T",Environmental DNA reveals quantitative patterns of fish biodiversity in large rivers despite its downstream transportation,SCIENTIFIC REPORTS,DNA,1,0,2018,30,0.4_1,NA,MNS_Kit,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Fish,"OTU, Species",0,1,1,NA,NA,24,NA,Chordata,Europe,NA,France
"Nakagawa, H; Yamamoto, S; Sato, Y; Sado, T; Minamoto, T; Miya, M",Comparing local- and regional-scale estimations of the diversity of stream fish using eDNA metabarcoding and conventional observation methods,FRESHWATER BIOLOGY,DNA,1,0,2018,1,NA,Glass_Fiber,QBT_Kit_alt,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Fish,Species,0,0,1,NA,NA,55,NA,Chordata,Asia,NA,Japan
"Chiang, E; Schmidt, ML; Berry, MA; Biddanda, BA; Burtner, A; Johengen, TH; Palladino, D; Denef, VJ",Verrucomicrobia are prevalent in north-temperate freshwater lakes and display class-level preferences between lake habitats,PLOS ONE,DNA,1,0,2018,30,<0.22,Isopore,QAP_Kit,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Bacteria,OTU,0,0,0,NA,NA,NA,NA,Verrucomicrobia,North America,NA,USA
"Li, YZ; Hingamp, P; Watai, H; Endo, H; Yoshida, T; Ogata, H",Degenerate PCR Primers to Reveal the Diversity of Giant Viruses in Coastal Waters,VIRUSES-BASEL,DNA,1,0,2018,1,<0.22,Polycarbonate,SDS,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Bay,Virus,OTU,0,1,0,"5,595",NA,NA,NA,NA,Asia,Northwest Pacific,Japan
"Flaviani, F; Schroeder, DC; Lebret, K; Balestreri, C; Highfield, AC; Schroeder, JL; Thorpe, SE; Moore, K; Pasckiewicz, K; Pfaff, MC; Rybicki, EP",Distinct Oceanic Microbiomes From Viruses to Protists Located Near the Antarctic Circumpolar Current,FRONTIERS IN MICROBIOLOGY,DNA,1,0,2018,0.25,0.4_1,Polycarbonate,QBT_Kit,"16S, 18S",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Open Ocean,Non target,OTU,0,1,0,"58,729",NA,NA,NA,>10,NA,"Indian Ocean, SOTUhern Ocean","Antarctica, SOTUh Africa, Australia"
"Menning, DM; Carraher-Stross, WA; Graham, ED; Thomas, DN; Phillips, AR; Scharping, RJ; Garey, JR",Aquifer Discharge Drives Microbial Community Change in Karst Estuaries,ESTUARIES AND COASTS,DNA,1,0,2018,0.5,<0.22,NA,QUF_Kit,"16S, 18S",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Estuary,Non target,OTU,0,1,0,NA,NA,NA,NA,>10,North America,Northwest Atlantic,USA
"Banerji, A; Bagley, M; Elk, M; Pilgrim, E; Martinson, J; Domingo, JS",Spatial and temporal dynamics of a freshwater eukaryotic plankton community revealed via 18S rRNA gene metabarcoding,HYDROBIOLOGIA,DNA,1,0,2018,0.1,0.4_1,Polycarbonate,QAP_Kit,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Non target,OTU,0,1,0,"1,341",NA,NA,NA,NA,North America,NA,USA
"Li, FL; Peng, Y; Fang, WD; Altermatt, F; Xie, YW; Yang, JH; Zhang, XW",Application of Environmental DNA Metabarcoding for Predicting Anthropogenic Pollution in Rivers,ENVIRONMENTAL SCIENCE & TECHNOLOGY,DNA,1,0,2018,0.225,<0.22,Nylon,QPW_Kit,"18S, 16S",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Non target,OTU,0,1,0,"9,599",NA,NA,NA,NA,Asia,NA,China
"Grey, EK; Bernatchez, L; Cassey, P; Deiner, K; Deveney, M; Howland, KL; Lacoursiere-Roussel, A; Leong, SCY; Li, YY; Olds, B; Pfrender, ME; Prowse, TAA; Renshaw, MA; Lodge, DM",Effects of sampling effort on biodiversity patterns estimated from environmental DNA metabarcoding surveys,SCIENTIFIC REPORTS,DNA,1,0,2018,0.25,0.4_1,"Cellulose_Nitrate, Glass_Fiber",PCI_alt,"18S, COI",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fresh, marine",1,1,Coastal Ocean,Non target,OTU,0,1,0,795,NA,NA,NA,>10,"North America, Asia, Oceania",NA,"USA, Canada, Australia, Singapore"
"Djurhuus, A; Pitz, K; Sawaya, NA; Rojas-Marquez, J; Michaud, B; Montes, E; Muller-Karger, F; Breitbart, M",Evaluation of marine zooplankton community structure through environmental DNA metabarcoding,LIMNOLOGY AND OCEANOGRAPHY-METHODS,DNA,1,0,2018,1,<0.22,Nitrocellulose,QBT_Kit,"18S, COI",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coral reef,Zooplankton,OTU,0,1,0,"12,639",NA,NA,NA,NA,North America,Northwest Atlantic,USA
"Fernandez, S; Rodriguez, S; Martinez, JL; Borrell, YJ; Ardura, A; Garcia-Vazquez, E",Evaluating freshwater macroinvertebrates from eDNA metabarcoding: A river Nalon case study,PLOS ONE,DNA,1,0,2018,1,<0.22,Polyethersulfone,QPW_Kit,"18S, COI",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Non target,OTU,0,1,0,242,NA,NA,NA,>10,Europe,NA,Spain
"Kelly, RP; Gallego, R; Jacobs-Palmer, E",The effect of tides on nearshore environmental DNA,PEERJ,DNA,1,0,2018,0.5,0.4_1,Cellulose_Acetate,PCI,COI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Estuary,Non target,OTU,0,1,0,"7,155",NA,NA,NA,NA,North America,Northeast Pacific,USA
"Macher, JN; Vivancos, A; Piggott, JJ; Centeno, FC; Matthaei, CD; Leese, F",Comparison of environmental DNA and bulk-sample metabarcoding using highly degenerate cytochrome c oxidase I primers,MOLECULAR ECOLOGY RESOURCES,DNA,1,0,2018,1,<0.22,Polycarbonate,Salt_ext_alt,COI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Non target,OTU,0,1,0,"5,819",NA,NA,NA,>10,Oceania,NA,New Zeland
"Lacoursiere-Roussel, A; Howland, K; Normandeau, E; Grey, EK; Archambault, P; Deiner, K; Lodge, DM; Hernandez, C; Leduc, N; Bernatchez, L",eDNA metabarcoding as a new surveillance approach for coastal Arctic biodiversity,ECOLOGY AND EVOLUTION,DNA,1,0,2018,0.25,0.4_1,Glass_Fiber,PCI_alt,COI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Bay,Non target,Species,0,0,1,NA,NA,181,NA,>10,North America,Northwest Atlantic,Canada
"Baker, CS; Steel, D; Nieukirk, S; Klinck, H",Environmental DNA (eDNA) From the Wake of the Whales: Droplet Digital PCR for Detection and Species Identification,FRONTIERS IN MARINE SCIENCE,DNA,1,0,2018,1,0.4_1,Polycarbonate,PCI,"Dloop, cytb",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Bay,Mammal,NA,0,0,0,NA,NA,NA ,NA,Chordata,North America,Northeast Pacific,USA
"Cowart, DA; Murphy, KR; Cheng, CHC",Metagenomic sequencing of environmental DNA reveals marine faunal assemblages from the West Antarctic Peninsula,MARINE GENOMICS,DNA,1,0,2018,3,0.4_1,Nylon,QBT_Kit,Genomic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,marine,0,1,Bay,Non target,OTU,0,1,0,563,NA,NA,NA,"Chordata, Mollusca, Arthropoda, Nematoda, Platyhelminthea, Annelida, Cnidaria, Tardigrada, Echinodermata, Porifera",Antarctica,SOTUhern Ocean,Antarctica
"Shinzato, C; Zayasu, Y; Kanda, M; Kawamitsu, M; Satoh, N; Yamashita, H; Suzuki, G",Using Seawater to Document Coral-Zoothanthella Diversity: A New Approach to Coral Reef Monitoring Using Environmental DNA,FRONTIERS IN MARINE SCIENCE,DNA,1,0,2018,3,0.4_1,Polycarbonate,BEM,"mtCR, ITS1, ITS2",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coral reef,Invertebrate,NA,0,0,0,NA,NA,NA,NA,"Cnidaria, Dinoflagellata",Asia,Northwest Pacific,Japan
"Everett, MV; Park, LK",Exploring deep-water coral communities using environmental DNA,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,DNA,1,0,2018,1,0.4_1,Nitrocellulose,PCI_alt,mutS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,marine,0,1,Deep Ocean,Invertebrate,Species,0,0,1,NA,NA,27,NA,Cnidaria,North America,Northeast Pacific,USA
"Zhang, H; Yoshizawa, S; Iwasaki, W; Xian, WW",Seasonal Fish Assemblage Structure Using Environmental DNA in the Yangtze Estuary and Its Adjacent Waters,FRONTIERS IN MARINE SCIENCE,DNA,1,0,2019,2,<0.22,Polyethersulfone,QBT_Kit,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Estuary,Fish,OTU,0,1,0,41,NA,NA,NA,Chordata,Asia,Northwest Pacific,China
"Closek, CJ; Santora, JA; Starks, HA; Schroeder, ID; Andruszkiewicz, EA; Sakuma, KM; Bograd, SJ; Hazenv, EL; Field, JC; Boehm, AB",Marine Vertebrate Biodiversity and Distribution Within the Central California Current Using Environmental DNA (eDNA) Metabarcoding and Ecosystem Surveys,FRONTIERS IN MARINE SCIENCE,DNA,1,0,2019,1,<0.22,Polyvinylidene_fluoride,QBT_Kit_alt,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Non target,OTU,0,1,0,1396,NA,NA,NA,Chordata,North America,Northeast Pacific,USA
"Cilleros, K; Valentini, A; Allard, L; Dejean, T; Etienne, R; Grenouillet, G; Iribar, A; Taberlet, P; Vigouroux, R; Brosse, S",Unlocking biodiversity and conservation studies in high-diversity environments using environmental DNA (eDNA): A test with Guianese freshwater fishes,MOLECULAR ECOLOGY RESOURCES,DNA,1,0,2019,50,0.4_1,NA,QBT_Kit,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Fish,"OTU, Species",0,1,1,148,NA,132,NA,Chordata,SOTUh America,NA,French Guiana
"Harper, LR; Handley, LL; Carpenter, AI; Ghazali, M; Di Muri, C; Macgregor, CJ; Logan, TW; Law, A; Breithaupt, T; Read, DS; McDevitt, AD; Hanfling, B",Environmental DNA (eDNA) metabarcoding of pond water as a tool to survey conservation and management priority mammals,BIOLOGICAL CONSERVATION,DNA,1,0,2019,2,0.4_1,Cellulose_Esters,MUW_Kit,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Pond,Mammal,Species,0,0,1,NA,NA,59,NA,Chordata,Europe,NA,UK
"Fujii, K; Doi, H; Matsuoka, S; Nagano, M; Sato, H; Yamanaka, H",Environmental DNA metabarcoding for fish community analysis in backwater lakes: A comparison of capture methods,PLOS ONE,DNA,1,0,2019,1,0.4_1,Glass_Fiber,QBT_Kit_alt,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Fish,Species,0,0,1,NA,NA,24,NA,Chordata,Asia,NA,Japan
"Liu, Y; Wikfors, GH; Rose, JM; McBride, RS; Milke, LM; Mercaldo-Allen, R",Application of Environmental DNA Metabarcoding to Spatiotemporal Finfish Community Assessment in a Temperate Embayment,FRONTIERS IN MARINE SCIENCE,DNA,1,0,2019,1,0.4_1,Polycarbonate,QPW_Kit,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Bay,Fish,Species,0,0,1,NA,NA,24,NA,Chordata,North America,Northwest Atlantic,USA
"Stat, M; John, J; DiBattista, JD; Newman, SJ; Bunce, M; Harvey, ES",Combined use of eDNA metabarcoding and video surveillance for the assessment of fish biodiversity,CONSERVATION BIOLOGY,DNA,1,0,2019,0.5,0.4_1,Polyethersulfone,QBT_Kit,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,"Coral reef, Seagrass bed",Fish,Species,0,0,1,NA,NA,82,NA,Chordata,Oceania,Indian Ocean,Australia
"Ribeiro, H; Martins, A; Goncalves, M; Guedes, M; Tomasino, MP; Dias, N; Dias, A; Mucha, AP; Carvalho, MF; Almeida, CMR; Ramos, S; Almeida, JM; Silva, E; Magalhaes, C",Development of an autonomous biosampler to capture in situ aquatic microbiomes,PLOS ONE,DNA,1,0,2019,3,<0.22,Polyethersulfone,QPW_Kit,"16S, 18S",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Non target,OTU,0,1,0,725,NA,NA,NA,NA,Europe,Northeast Atlantic,Portugal
"Jeunen, GJ; Knapp, M; Spencer, HG; Lamare, MD; Taylor, HR; Stat, M; Bunce, M; Gemmell, NJ",Environmental DNA (eDNA) metabarcoding reveals strong discrimination among diverse marine habitats connected by water movement,MOLECULAR ECOLOGY RESOURCES,DNA,1,0,2019,2,>1,Cellulose_Nitrate,PCI_alt,"16S, COI",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Bay,Non target,OTU,0,1,0,"2,331",NA,NA,NA,"Ochrophyta, Rhodophyta, Chordata, Mollusca, Porifera, Bacillarioohyta, Annelida, Arthropoda, Cnidara, Echinodermata",Oceania,SOTUhwest Pacific,New Zeland
"Ramond, P; Sourisseau, M; Simon, N; Romac, S; Schmitt, S; Rigaut-Jalabert, F; Henry, N; de Vargas, C; Siano, R",Coupling between taxonomic and functional diversity in Protist coastal communities,ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,2019,7.5,<0.22,Polycarbonate,MNP_Kit,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Protist,OTU,0,1,0,NA,NA,NA,NA,>10,"Europe, Africa",Northeast Atlantic,"France, Senegal"
"Liu, YT; He, H; Fu, L; Liu, Q; Yang, ZS; Zhen, Y","Environmental DNA Sequencing Reveals a Highly Complex Eukaryote Community in Sansha Yongle Blue Hole, Xisha, SOTUh China Sea",MICROORGANISMS,DNA,1,0,2019,4,<0.22,NA,CTAB,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Non target,OTU,0,1,0,"6,093",NA,NA,NA,>10,Asia,Northwest Pacific,China
"Filker, S; Kuhner, S; Heckwolf, M; Dierking, J; Stoeck, T",A fundamental difference between macrobiota and microbial eukaryotes: Protist plankton has a species maximum in the freshwater-marine transition zone of the Baltic Sea,ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,2019,5,0.4_1,Polycarbonate,QAP_Kit,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Non target,OTU,0,1,0,343,NA,NA,NA,NA,Europe,Baltic Sea,Germany
"Minicante, SA; Piredda, R; Quero, GM; Finotto, S; Aubry, FB; Bastianini, M; Pugnetti, A; Zingone, A","Habitat Heterogeneity and Connectivity: Effects on the Planktonic Protist Community Structure at Two Adjacent Coastal Sites (the Lagoon and the Gulf of Venice, Northern Adriatic Sea, Italy) Revealed by Metabarcoding",FRONTIERS IN MICROBIOLOGY,DNA,1,0,2019,3,>1,Cellulose_Esters,QDP_Kit,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Lagoon,Non target,OTU,0,1,0,"4,506",NA,NA,NA,NA,Europe,Mediterranean Sea,Italy
"Metz, S; Singer, D; Domaizon, I; Unrein, F; Lara, E",Global distribution of Trebouxiophyceae diversity explored by high-throughput sequencing and phylogenetic approaches,ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,2019,1,<0.22,Polycarbonate,QPS_Kit,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fresh, marine",1,1,"Lake, Open Ocean",Algae,OTU,0,1,0,961,NA,NA,NA,Chlorophyta,"SOTUh America, Africa, Europe, Asia",NA,NA
